,Category,Count_Total,Total_views_all,Avg_ratings_all
221,Piercings,27.0,4021072.0,52.65333333333333
222,Pool,11.0,394401.0,51.285714285714285
223,Secretary,4.0,316173.0,51.5
224,Spectacular,6.0,641201.0,51.22222222222222
225,Straight,15.0,339372.0,54.5
226,Strap-on,9.0,357782.0,26.875
227,Swallow,9.0,128682.0,46.125
228,Toilet,3.0,168800.0,50.333333333333336
229,Tribbing,5.0,25212.0,32.5
230,Twink,2.0,325422.0,57.0
231,Uniform,14.0,180991.0,51.22222222222223
232,Vaginal Masturbation,72.0,2587865.0,52.0
233,Doctor,2.0,108884.0,24.333333333333332
234,Doggy Style,1.0,35947.0,26.333333333333332
235,Facesitting,1.0,42208.0,26.666666666666668
236,Homemade,1.0,9210.0,32.0
237,Oriental,5.0,334727.0,25.733333333333334
238,Police,2.0,11287.0,22.333333333333332
239,Trimmed,3.0,81058.0,27.88888888888889
240,Young & Old,1.0,37125.0,29.0
