,Category,Count_Total,Total_views,Avg_ratings
211,Cougar,1.0,,
212,Cowgirl,2.0,,
213,Fake Tits,25.0,,
214,Female Orgasm,13.0,,
215,Gym,27.0,,
216,Hunks,4.0,,
217,Maid,6.0,,
218,Midget,3.0,,
219,Natural Tits,27.0,,
220,Nurse,4.0,,
221,Piercings,27.0,,
222,Pool,11.0,,
223,Secretary,4.0,,
224,Spectacular,6.0,,
225,Straight,15.0,,
226,Strap-on,9.0,,
227,Swallow,9.0,,
228,Toilet,3.0,,
229,Tribbing,5.0,,
230,Twink,2.0,,
231,Uniform,14.0,,
232,Vaginal Masturbation,72.0,,
233,Doctor,2.0,,
234,Doggy Style,1.0,,
235,Facesitting,1.0,,
236,Homemade,1.0,,
237,Oriental,5.0,,
238,Police,2.0,,
239,Trimmed,3.0,,
240,Young & Old,1.0,,
