,Category,Count1,Count2,Count3,Count_Total
140,Nipples,74.0,450.0,326.0,850.0
141,None,15050.0,20375.0,23671.0,59096.0
142,Office,5.0,9.0,18.0,32.0
143,Old+Young,384.0,1728.0,2964.0,5076.0
144,Old/Young,384.0,295.0,197.0,876.0
145,Oral Sex,1.0,109.0,385.0,495.0
146,Orgy,1898.0,3058.0,1574.0,6530.0
147,Outdoor,16.0,49.0,81.0,146.0
148,POV,5684.0,4351.0,3180.0,13215.0
149,Pantyhose,2.0,4.0,6.0,12.0
150,Parody,83.0,121.0,100.0,304.0
151,Party,683.0,670.0,272.0,1625.0
152,Peeing,38.0,46.0,38.0,122.0
153,Pissing,148.0,299.0,285.0,732.0
154,Pornstar,20850.0,18442.0,13366.0,52658.0
155,Pornstars,324.0,1846.0,2257.0,4427.0
156,Pregnant,1.0,1.0,3.0,5.0
157,Public,2873.0,1246.0,739.0,4858.0
158,Public Nudity,221.0,1367.0,2078.0,3666.0
159,Pussy Licking,790.0,388.0,377.0,1555.0
160,Reality,2326.0,2877.0,1539.0,6742.0
161,Red Head,1409.0,1384.0,1122.0,3915.0
162,Redhead,1.0,48.0,45.0,94.0
163,Redheads,36.0,310.0,660.0,1006.0
164,Rimming,1.0,4.0,1.0,6.0
165,Romantic,2.0,16.0,37.0,55.0
166,Rough Sex,2236.0,1859.0,1424.0,5519.0
167,Russian,416.0,981.0,829.0,2226.0
168,School,285.0,216.0,222.0,723.0
169,Sex Toys,53.0,642.0,1495.0,2190.0
170,Shaved,5.0,31.0,111.0,147.0
171,Shemale,2.0,0.0,0.0,2.0
172,Shemales,1572.0,253.0,18.0,1843.0
173,Showers,19.0,178.0,219.0,416.0
174,Skinny,4.0,30.0,17.0,51.0
175,Small Tits,5420.0,3667.0,2478.0,11565.0
176,Smoking,203.0,266.0,171.0,640.0
177,Softcore,21.0,162.0,398.0,581.0
178,Solo Gay,6.0,155.0,67.0,228.0
179,Solo Girl,960.0,628.0,561.0,2149.0
180,Solo Male,150.0,152.0,98.0,400.0
181,Spanking,38.0,175.0,247.0,460.0
182,Spycam,3.0,28.0,50.0,81.0
183,Squirt,793.0,1037.0,886.0,2716.0
184,Squirting,34.0,221.0,768.0,1023.0
185,Stockings,69.0,549.0,2234.0,2852.0
186,Strapon,13.0,135.0,455.0,603.0
187,Striptease,927.0,781.0,641.0,2349.0
188,Swedish,7.0,49.0,24.0,80.0
189,Swingers,23.0,152.0,583.0,758.0
190,Tattoos,1.0,8.0,26.0,35.0
191,Teen,11694.0,10245.0,8178.0,30117.0
192,Teens,505.0,2720.0,9279.0,12504.0
193,Thai,8.0,58.0,117.0,183.0
194,Threesome,6059.0,3650.0,2422.0,12131.0
195,Threesomes,18.0,227.0,1605.0,1850.0
196,Tits,46.0,553.0,2714.0,3313.0
197,Toys,2493.0,3553.0,2574.0,8620.0
198,Transgender,161.0,109.0,68.0,338.0
199,Turkish,40.0,276.0,227.0,543.0
200,Uniforms,759.0,583.0,561.0,1903.0
201,Upskirts,103.0,286.0,544.0,933.0
202,Vaginal Sex,4.0,88.0,104.0,196.0
203,Verified Amateurs,1306.0,1254.0,1801.0,4361.0
204,Vintage,1249.0,1658.0,4006.0,6913.0
205,Virtual Reality,41.0,47.0,21.0,109.0
206,Voyeur,37.0,284.0,1914.0,2235.0
207,Wanking,2.0,14.0,26.0,42.0
208,Webcam,2212.0,1354.0,1385.0,4951.0
209,Webcams,102.0,206.0,1668.0,1976.0
210,Bear,0.0,1.0,0.0,1.0
211,Cougar,0.0,1.0,0.0,1.0
212,Cowgirl,0.0,1.0,1.0,2.0
213,Fake Tits,0.0,6.0,19.0,25.0
214,Female Orgasm,0.0,2.0,11.0,13.0
215,Gym,0.0,8.0,19.0,27.0
216,Hunks,0.0,1.0,3.0,4.0
217,Maid,0.0,2.0,4.0,6.0
218,Midget,0.0,1.0,2.0,3.0
219,Natural Tits,0.0,5.0,22.0,27.0
220,Nurse,0.0,1.0,3.0,4.0
221,Piercings,0.0,2.0,25.0,27.0
222,Pool,0.0,4.0,7.0,11.0
223,Secretary,0.0,2.0,2.0,4.0
224,Spectacular,0.0,3.0,3.0,6.0
225,Straight,0.0,14.0,1.0,15.0
226,Strap-on,0.0,1.0,8.0,9.0
227,Swallow,0.0,8.0,1.0,9.0
228,Toilet,0.0,1.0,2.0,3.0
229,Tribbing,0.0,2.0,3.0,5.0
230,Twink,0.0,1.0,1.0,2.0
231,Uniform,0.0,6.0,8.0,14.0
232,Vaginal Masturbation,0.0,2.0,70.0,72.0
233,Doctor,0.0,0.0,2.0,2.0
234,Doggy Style,0.0,0.0,1.0,1.0
235,Facesitting,0.0,0.0,1.0,1.0
236,Homemade,0.0,0.0,1.0,1.0
237,Oriental,0.0,0.0,5.0,5.0
238,Police,0.0,0.0,2.0,2.0
239,Trimmed,0.0,0.0,3.0,3.0
240,Young & Old,0.0,0.0,1.0,1.0
